Frequency,MOSFET current: Magnitude,MOSFET current: Phase,Diode current: Magnitude,Diode current: Phase
38000000.000,0.001,0.782,0.003,-2.433
38100000.000,0.004,-0.257,0.009,2.865
38200000.000,0.005,-1.091,0.012,2.047
38300000.000,0.005,-1.909,0.011,1.241
38400000.000,0.003,-2.763,0.007,0.407
38500000.000,0.001,1.986,0.001,-1.038
38600000.000,0.002,-0.820,0.006,2.283
38700000.000,0.004,-1.709,0.011,1.420
38800000.000,0.005,-2.531,0.012,0.612
38900000.000,0.004,2.928,0.010,-0.198
39000000.000,0.002,2.009,0.005,-1.085
39100000.000,0.001,-1.102,0.002,1.939
39200000.000,0.003,-2.310,0.008,0.808
39300000.000,0.005,3.130,0.011,-0.017
39400000.000,0.005,2.313,0.011,-0.822
39500000.000,0.003,1.471,0.008,-1.647
39600000.000,0.001,0.295,0.002,-2.750
39700000.000,0.002,-2.842,0.005,0.251
39800000.000,0.004,2.515,0.010,-0.641
39900000.000,0.005,1.690,0.012,-1.452
40000000.000,0.004,0.870,0.010,-2.260
40100000.000,0.002,-0.016,0.006,-3.119
40200000.000,0.001,-2.745,0.001,0.283
40300000.000,0.003,1.925,0.007,-1.245
40400000.000,0.004,1.069,0.011,-2.081
40500000.000,0.004,0.251,0.011,-2.886
40600000.000,0.003,-0.582,0.008,2.579
40700000.000,0.001,-1.606,0.003,1.607
40800000.000,0.001,1.444,0.004,-1.760
40900000.000,0.003,0.458,0.009,-2.701
41000000.000,0.004,-0.372,0.011,2.767
41100000.000,0.004,-1.190,0.010,1.961
41200000.000,0.003,-2.054,0.006,1.119
41300000.000,0.000,2.307,0.001,-0.770
41400000.000,0.002,-0.116,0.006,2.991
41500000.000,0.004,-0.992,0.010,2.140
41600000.000,0.004,-1.811,0.011,1.333
41700000.000,0.004,-2.638,0.009,0.520
41800000.000,0.002,2.698,0.004,-0.389
41900000.000,0.001,-0.498,0.002,2.559
42000000.000,0.003,-1.596,0.008,1.524
42100000.000,0.004,-2.434,0.011,0.703
42200000.000,0.004,3.032,0.011,-0.102
42300000.000,0.003,2.184,0.007,-0.932
42400000.000,0.001,0.848,0.002,-2.179
42500000.000,0.002,-2.148,0.005,0.952
42600000.000,0.004,-3.051,0.009,0.078
42700000.000,0.004,2.410,0.011,-0.731
42800000.000,0.004,1.587,0.009,-1.541
42900000.000,0.002,0.685,0.005,-2.414
43000000.000,0.001,-2.305,0.002,0.722
43100000.000,0.003,2.636,0.007,-0.531
43200000.000,0.004,1.788,0.010,-1.361
43300000.000,0.004,0.970,0.011,-2.166
43400000.000,0.003,0.133,0.008,-2.987
43500000.000,0.001,-0.962,0.002,2.264
43600000.000,0.002,2.123,0.004,-1.073
43700000.000,0.003,1.174,0.009,-1.983
43800000.000,0.004,0.347,0.011,-2.796
43900000.000,0.004,-0.472,0.010,2.681
44000000.000,0.002,-1.347,0.006,1.830
44100000.000,0.000,2.528,0.001,-0.677
44200000.000,0.002,0.591,0.006,-2.582
44300000.000,0.004,-0.273,0.010,2.859
44400000.000,0.004,-1.092,0.010,2.053
44500000.000,0.003,-1.922,0.008,1.238
44600000.000,0.001,-2.906,0.003,0.298
44700000.000,0.001,0.145,0.003,-3.068
44800000.000,0.003,-0.881,0.008,2.241
44900000.000,0.004,-1.715,0.010,1.423
45000000.000,0.004,-2.533,0.010,0.618
45100000.000,0.002,2.894,0.006,-0.218
45200000.000,0.000,1.292,0.001,-1.735
45300000.000,0.002,-1.447,0.005,1.657
45400000.000,0.004,-2.333,0.009,0.797
45500000.000,0.004,3.129,0.010,-0.011
45600000.000,0.003,2.304,0.008,-0.822
45700000.000,0.002,1.380,0.004,-1.713
45800000.000,0.001,-1.754,0.002,1.290
45900000.000,0.003,-2.934,0.007,0.184
46000000.000,0.004,2.507,0.010,-0.641
46100000.000,0.004,1.689,0.010,-1.446
46200000.000,0.003,0.846,0.007,-2.271
46300000.000,0.001,-0.358,0.002,2.885
46400000.000,0.002,2.812,0.004,-0.377
46500000.000,0.003,1.891,0.008,-1.265
46600000.000,0.004,1.067,0.010,-2.075
46700000.000,0.003,0.246,0.009,-2.883
46800000.000,0.002,-0.643,0.005,2.538
46900000.000,0.000,2.843,0.001,-0.416
47000000.000,0.002,1.300,0.006,-1.869
47100000.000,0.004,0.445,0.009,-2.704
47200000.000,0.004,-0.372,0.010,2.774
47300000.000,0.003,-1.206,0.007,1.955
47400000.000,0.001,-2.244,0.003,0.972
47500000.000,0.001,0.811,0.003,-2.391
47600000.000,0.003,-0.166,0.008,2.958
47700000.000,0.004,-0.995,0.010,2.144
47800000.000,0.004,-1.814,0.009,1.338
47900000.000,0.002,-2.680,0.005,0.494
48000000.000,0.000,1.580,0.001,-1.521
48100000.000,0.002,-0.743,0.005,2.365
48200000.000,0.003,-1.615,0.009,1.516
48300000.000,0.004,-2.435,0.010,0.710
48400000.000,0.003,3.021,0.008,-0.104
48500000.000,0.001,2.067,0.003,-1.018
48600000.000,0.001,-1.141,0.002,1.920
48700000.000,0.003,-2.221,0.007,0.900
48800000.000,0.004,-3.057,0.009,0.080
48900000.000,0.004,2.408,0.009,-0.726
49000000.000,0.002,1.558,0.006,-1.556
49100000.000,0.001,0.178,0.001,-2.847
49200000.000,0.002,-2.775,0.004,0.325
49300000.000,0.003,2.608,0.008,-0.546
49400000.000,0.004,1.786,0.009,-1.355
49500000.000,0.003,0.963,0.008,-2.164
49600000.000,0.002,0.056,0.004,-3.041
49700000.000,0.001,-2.972,0.001,0.059
49800000.000,0.002,2.011,0.006,-1.155
49900000.000,0.004,1.164,0.009,-1.984
50000000.000,0.004,0.347,0.009,-2.789
